pseudo,roles,password,nom,prenom,telephone,email,is_admin,is_actif,campus
ifli,"[""ROLE_ADMIN""]",rggDdXaM,Weinreb,Linet,39421998,.@campus-eni.com,0,0,26
mSVjjj,"[""ROLE_PARTICIPANT""]",uumokaGANG,Thema,Gratia,23256609,.@campus-eni.com,0,0,49
FESTZL,"[""ROLE_PARTICIPANT""]",lyXQSajQo,Raimondo,Orelia,64648124,.@campus-eni.com,1,1,37
slP,"[""ROLE_PARTICIPANT""]",yamctLId,Lenny,Adelle,94820828,.@campus-eni.com,1,0,5
cSmVrLUWG,"[""ROLE_ADMIN""]",nvPhWkyt,Garrison,Clementine,59783733,.@campus-eni.com,1,0,58
kBmEsnE,"[""ROLE_PARTICIPANT""]","oDBLPthqZ ",Capello,Emma,59696674,.@campus-eni.com,1,0,62
OzA,"[""ROLE_ADMIN""]",wNDTmwHJ,Marsden,Trudie,83151183,.@campus-eni.com,1,1,57
KRUN tb,"[""ROLE_ADMIN""]",zZFmQr xso,Fennessy,Blondelle,60750925,.@campus-eni.com,0,1,93
qeqhPst,"[""ROLE_PARTICIPANT""]",ojZBynt,Camden,Jemie,51665293,.@campus-eni.com,0,0,71
BBaqCmLzdA,"[""ROLE_PARTICIPANT""]",aKvNGu,Dawkins,Myrtice,82724039,.@campus-eni.com,0,1,2
